id,direction_id,ligne_id,calendrier_id,macro_direction
2493,8,36,2,0
1371,8,36,2,0
4200,44,36,2,1
1330,44,36,2,1
2415,8,36,2,0
1285,8,36,2,0
1250,44,36,2,1
1212,8,36,2,0
2781,8,36,2,0
773,8,36,2,0
2713,8,36,2,0
2731,8,36,2,0
4448,8,36,2,0
4466,8,36,2,0
5531,8,36,2,0
4421,8,36,2,0
4443,44,36,2,1
2656,8,36,2,0
2655,8,36,2,0
669,44,36,2,1
1081,44,36,2,1
4375,44,36,2,1
2596,8,36,2,0
2591,8,36,2,0
2589,44,36,2,1
4325,8,36,2,0
4304,44,36,2,1
5419,8,36,2,0
5416,8,36,2,0
1048,44,36,2,1
1014,8,36,2,0
5333,44,36,2,1
5309,8,36,2,0
5300,8,36,2,0
5235,44,36,2,1
5229,44,36,2,1
4045,44,36,2,1
4035,44,36,2,1
4093,44,36,2,1
5182,8,36,2,0
5018,44,36,2,1
5065,44,36,2,1
1985,44,36,2,1
1988,8,36,2,0
1901,44,36,2,1
1945,44,36,2,1
1940,8,36,2,0
1961,44,36,2,1
3982,67,15,13,0
1815,67,15,13,0
1706,20,15,13,1
5759,67,15,13,0
1366,67,15,13,0
861,20,15,13,1
2401,20,15,13,1
2681,20,15,13,1
4450,67,15,13,0
5350,67,15,13,0
5344,20,15,13,1
5311,20,15,13,1
3250,40,13,3,0
3253,41,13,2,0
2135,41,13,9,0
2183,40,13,2,0
2264,12,13,3,1
3364,41,13,2,0
3348,12,13,4,1
3416,12,13,2,1
3436,12,13,2,1
2002,40,13,3,0
3516,40,13,2,0
2084,12,13,2,1
3527,12,13,2,1
2041,40,13,3,0
3690,12,13,2,1
3695,12,13,2,1
3687,40,13,3,0
3649,40,13,4,0
3722,41,13,2,0
3700,12,13,2,1
3863,12,13,3,1
3850,12,13,2,1
3845,41,13,6,0
4977,12,13,2,1
3898,12,13,3,1
3899,41,13,1,0
3079,12,13,6,1
3916,12,13,2,1
3989,68,13,1,1
3174,12,13,7,1
538,41,13,2,0
546,12,13,2,1
1813,12,13,4,1
513,12,13,3,1
515,12,13,6,1
2982,41,13,2,0
557,12,13,7,1
567,12,13,7,1
1869,12,13,3,1
1882,12,13,4,1
1876,41,13,4,0
2922,40,13,6,0
4680,41,13,2,0
4674,41,13,2,0
1705,41,13,2,0
417,40,13,3,0
439,41,13,2,0
466,40,13,7,0
1786,12,13,2,1
2817,12,13,2,1
4564,12,13,2,1
473,41,13,2,0
2784,40,13,4,0
4572,12,13,2,1
