arretId,correspondanceId,distance
20469,10234,179
20251,20252,163
20251,20255,158
20251,10123,0
20251,10124,160
20468,20469,19
20468,20466,185
20468,20388,58
20468,10191,58
20468,10235,9
20468,10234,195
20258,20259,27
20258,10127,13
20052,20053,11
20052,10350,117
20052,20180,117
20052,10022,5
20257,20256,8
20257,10126,4
20051,20050,37
20051,10021,19
20256,20257,8
20256,10126,4
20050,20051,37
20050,10021,19
20255,20252,20
20255,20251,158
20255,10123,158
20255,10124,10
20463,20462,33
20463,10232,17
20462,20463,33
20462,20461,170
20462,10232,17
20461,20462,170
20461,20460,92
20461,10231,46
20461,10232,185
20938,20939,16
20938,10484,8
20259,20258,27
20259,10127,13
20460,20461,92
20460,10231,46
20939,20938,16
20939,10484,8
10078,20160,43
10078,20159,43
20467,20469,189
20467,20466,23
20467,20388,177
20467,10191,177
20467,10235,197
20467,10234,12
10079,20162,18
10079,20161,18
10079,20835,184
10079,20834,176
10079,10430,180
20466,20469,170
20466,20468,185
20466,20467,23
20466,20388,155
20466,10191,155
20466,10235,177
20466,10234,12
20465,20464,22
20465,10233,11
10076,20156,14
10076,20157,162
10076,20155,14
20464,20465,22
20464,10233,11
10077,20158,99
10077,20157,99
10077,20142,195
10075,20151,193
10075,20154,37
10075,20153,37
20944,20943,46
20944,10487,23
20660,20442,154
20660,20661,69
20660,10339,35
20660,10221,154
10074,20151,142
10074,20152,142
20943,20944,46
20943,10487,23
20661,20442,87
20661,20660,69
20661,10339,35
20661,10221,87
20942,20996,115
20942,10518,115
20942,10486,0
10073,20150,0
10073,20152,143
10073,20790,85
10073,10405,85
10072,20668,191
10072,20165,0
20941,20940,55
20941,10485,28
20664,10341,0
20664,20848,164
20664,20849,157
20664,10437,160
20948,20947,72
20948,10533,162
20948,10489,36
20948,21033,174
20948,21032,151
10071,20144,5
10071,20145,6
10070,20142,14
10070,20143,14
20947,20948,72
20947,10489,36
20662,20435,170
20662,20432,31
20662,20434,161
20662,20433,40
20662,20663,50
20662,10340,25
20662,10216,32
20662,10217,165
20946,20945,18
20946,10534,141
20946,10488,9
20946,21035,135
20946,21034,148
20663,20432,78
20663,20434,191
20663,20433,66
20663,20662,50
20663,10340,25
20663,10216,70
20663,10217,196
20945,20946,18
20945,10534,145
20945,10488,9
20945,21035,139
20945,21034,151
20668,10072,191
20668,20669,102
20668,10342,51
20668,10366,199
20668,20165,191
20668,20716,196
20056,10049,73
20056,20024,147
20056,10618,90
20056,20102,73
20056,21204,90
20056,10007,147
20056,10024,0
20669,20668,102
20669,20019,168
20669,21079,196
20669,10342,51
20669,10366,189
20669,20195,199
20669,20716,183
20053,20052,11
20053,10350,116
20053,20180,116
20053,10022,5
20666,20667,24
20666,10151,76
20666,10150,163
20666,20306,173
20666,20307,165
20054,10350,145
20054,20180,145
20054,10023,0
20667,20644,193
20667,20666,24
20667,10151,67
20667,10150,187
20667,20306,196
20667,20307,188
20940,20941,55
20940,10485,28
20250,20265,117
20250,10130,180
20250,10122,0
20057,20058,147
20057,20023,56
20057,20022,118
20057,10005,118
20057,10006,56
20057,10025,0
20057,10026,147
20058,20057,147
20058,20022,54
20058,10005,54
20058,10025,147
20058,10026,0
10066,20067,190
10066,10068,142
10066,10032,198
10066,20139,145
10066,20138,140
10066,20132,193
10066,20135,32
10066,20134,32
10065,10069,168
10065,20140,175
10065,20141,163
10065,20133,46
10065,20132,46
10068,10066,142
10068,10032,199
10068,20148,195
10068,20139,11
10068,20138,11
10068,20135,150
10068,20134,141
10067,20068,0
20949,20950,66
20949,10490,33
10069,10065,168
10069,20140,18
10069,20141,18
10069,20133,160
10069,20132,187
20288,20289,118
20288,10142,59
20289,20288,118
20289,20287,188
20289,10142,59
20284,20285,35
20284,10140,17
20285,20284,35
20285,10140,17
20286,20287,50
20286,10141,25
20287,20033,188
20287,20289,188
20287,20286,50
20287,10141,25
20281,20280,130
20281,20692,136
20281,20693,161
20281,10354,148
20281,10138,65
20002,20004,89
20002,20001,57
20002,20007,163
20002,20006,27
20002,20009,13
20002,20008,108
20002,20012,53
20002,20011,13
20002,20010,0
20002,10001,37
20280,20281,130
20280,10138,65
20950,20949,66
20950,10533,162
20950,10490,33
20950,21033,148
20950,21032,177
20283,20282,7
20283,20692,140
20283,20694,117
20283,20693,138
20283,20695,140
20283,10354,139
20283,10355,128
20283,10139,4
20951,21554,28
20951,10491,14
20282,20283,7
20282,20692,146
20282,20694,112
20282,20693,145
20282,20695,136
20282,10354,145
20282,10355,124
20282,10139,4
20004,20002,89
20004,20001,94
20004,20007,89
20004,20006,113
20004,20009,96
20004,20008,22
20004,20012,46
20004,20011,96
20004,20010,89
20004,10001,52
20678,10091,179
20678,20679,21
20678,10348,11
20678,20192,197
20678,20193,171
20677,20676,9
20677,10347,4
20001,20002,57
20001,20004,94
20001,20007,183
20001,20006,78
20001,20009,70
20001,20008,116
20001,20012,49
20001,20011,70
20001,20010,57
20001,10001,64
20679,10091,158
20679,20678,21
20679,10348,10
20679,20192,177
20679,20193,151
20674,20675,19
20674,10346,10
20673,20672,6
20673,10345,3
20676,20677,9
20676,10347,4
20959,10710,198
20959,21100,33
20959,21401,197
20959,21402,198
20959,10496,16
20675,20674,19
20675,10346,9
10060,10061,175
10060,20124,134
10060,20123,9
10060,20122,9
20670,20671,42
20670,10344,21
20007,20002,163
20007,20004,89
20007,20001,183
20007,20006,181
20007,20009,165
20007,20008,68
20007,20012,134
20007,20011,165
20007,20010,163
20007,10611,196
20007,21189,196
20007,10001,128
10061,10060,175
10061,20124,42
10061,20123,181
10061,20125,42
10061,20122,169
20006,20002,27
20006,20004,113
20006,20001,78
20006,20007,181
20006,20009,17
20006,20008,131
20006,20012,80
20006,20011,17
20006,20010,27
20006,10001,61
10062,20127,16
10062,20129,197
10062,20126,16
20672,20673,6
20672,10345,3
20009,20002,13
20009,20004,96
20009,20001,70
20009,20007,165
20009,20006,17
20009,20008,114
20009,20012,64
20009,20011,0
20009,20010,13
20009,10001,44
10063,20128,11
10063,20129,11
10063,20126,192
20671,20670,42
20671,10344,21
20008,20002,108
20008,20004,22
20008,20001,116
20008,20007,68
20008,20006,131
20008,20009,114
20008,20012,68
20008,20011,114
20008,20010,108
20008,10001,71
10064,20131,62
10064,20130,62
10057,10056,178
10057,20117,16
10057,20116,16
10057,20115,163
10057,20114,194
20400,20401,15
20400,20402,147
20400,20403,177
20400,10200,7
20400,10201,162
10056,10057,178
10056,20117,194
10056,20116,162
10056,20115,17
10056,20114,17
20401,20400,15
20401,20402,156
20401,20403,187
20401,10200,7
20401,10201,171
10055,10619,173
10055,20113,19
10055,20112,19
10055,21209,164
10055,21205,179
10055,21206,174
10055,21207,174
10055,21208,166
10055,21212,184
10055,21210,176
10055,21211,170
10054,20111,68
10054,20110,118
10054,20330,81
10054,20331,95
10059,20120,12
10059,20121,12
10058,20119,18
10058,20118,18
20279,20278,95
20279,10137,47
20408,20409,31
20408,20395,183
20408,10198,183
20408,10204,16
20409,20408,31
20409,20395,157
20409,10198,157
20409,10204,16
20277,20248,164
20277,20276,62
20277,10136,31
20277,10121,170
20277,20329,141
20406,20407,36
20406,10105,120
20406,20105,120
20406,10163,196
20406,20334,196
20406,10203,18
20278,20263,155
20278,20279,95
20278,10137,47
20407,20406,36
20407,20404,196
20407,10105,143
20407,20105,143
20407,10203,18
20275,20274,22
20275,10135,11
20404,20407,196
20404,20405,60
20404,10202,30
20276,20249,168
20276,20248,121
20276,20277,62
20276,10136,31
20276,10121,126
20276,20329,123
20405,20404,60
20405,10202,30
20273,20272,100
20273,10134,50
20402,20400,147
20402,20401,156
20402,20403,32
20402,10200,151
20402,10201,16
20274,20249,194
20274,20275,22
20274,10135,11
20403,20400,177
20403,20401,187
20403,20402,32
20403,10200,182
20403,10201,16
20272,20273,100
20272,10134,50
20271,10133,0
20270,20269,111
20270,10132,55
20688,20687,17
20688,10351,9
20969,20968,14
20969,10501,7
20687,20688,17
20687,10351,9
20686,20630,183
20686,10320,8
20686,10321,183
20686,20629,17
20685,10319,18
20685,20627,36
20968,20969,14
20968,10501,7
20684,10318,22
20684,20626,44
10052,20020,164
10052,10377,155
10052,10369,111
10052,10368,99
10052,10367,112
10052,20107,0
10052,10003,167
10052,20740,155
10052,20741,140
10052,20718,99
10052,20719,111
10052,20717,112
10053,10611,12
10053,20110,132
10053,20109,11
10053,21189,12
10053,20332,11
10050,10083,174
10050,20173,172
10050,20172,176
10050,20171,12
10050,20075,12
20963,20964,20
20963,10498,10
20964,20963,20
20964,10498,10
20680,10349,0
10048,20100,44
10048,20099,44
10047,20136,83
10047,20518,93
10047,20098,69
10047,20097,107
10049,20056,73
10049,20024,182
10049,10618,109
10049,20102,0
10049,21204,109
10049,10007,182
10049,10024,73
10044,20091,15
10044,20092,15
20410,20411,68
20410,20412,182
20410,10205,34
10043,20090,22
10043,20089,22
20411,20410,68
20411,10205,34
10046,20366,169
10046,20367,190
10046,10180,179
10046,20095,19
10046,20096,19
20412,20410,182
20412,20413,110
20412,20392,190
20412,10195,190
20412,10205,200
20412,10206,55
10045,20366,180
10045,10180,195
10045,20093,39
10045,20094,39
20413,20412,110
20413,20414,195
20413,20392,142
20413,10195,142
20413,10206,55
20414,20413,195
20414,20415,56
20414,20392,198
20414,10195,198
20414,10207,28
20415,20414,56
20415,10207,28
20416,20417,27
20416,10208,13
20417,20416,27
20417,10208,13
20418,20419,68
20418,20565,73
20418,10209,40
20419,20418,68
20419,20565,76
20419,10209,41
20021,10004,0
21551,10284,91
21551,10283,187
21551,10285,10
21551,20166,187
21551,20566,91
21551,20567,19
20020,10052,164
20020,20019,56
20020,21079,85
20020,10368,145
20020,10367,67
20020,10366,81
20020,20107,164
20020,10003,13
20020,20741,25
20020,20718,145
20020,20717,67
20020,20716,76
20699,20698,21
20699,10357,11
20023,20057,56
20023,20022,168
20023,10618,166
20023,21204,166
20023,10005,168
20023,10006,0
20023,10025,56
20022,20057,118
20022,20058,54
20022,20023,168
20022,10005,0
20022,10006,168
20022,10025,118
20022,10026,54
20025,20061,99
20025,20014,131
20025,20013,139
20025,20752,128
20025,21190,139
20025,21191,195
20025,10008,64
20025,10027,99
20970,20971,7
20970,10502,4
20024,20056,147
20024,10049,182
20024,20102,182
20024,10007,0
20024,10024,147
20971,20970,7
20971,10502,4
20027,20026,31
20027,10009,16
20026,20027,31
20026,10009,16
21554,20951,28
21554,10491,14
20973,20974,92
20973,10503,0
20973,10504,92
20029,20028,27
