arret_id,ligne_id,direction_id,sequence,accessible,macro_direction
20241,20,12,4,0,0
20103,20,12,1,0,0
20435,20,82,21,0,0
20240,20,8,16,0,1
20437,20,82,22,0,0
20242,20,8,15,0,1
20432,20,82,20,0,0
20107,20,8,2,0,1
20431,20,12,5,0,1
21101,20,82,18,0,0
20433,20,12,4,0,1
20192,20,12,11,0,0
20182,20,12,8,0,0
21102,20,12,6,0,1
20193,20,8,6,0,1
20181,20,8,9,0,1
20194,20,12,12,0,0
20184,20,12,9,0,0
20430,20,82,19,0,0
20195,20,8,5,0,1
20185,20,8,8,0,1
20306,20,12,14,0,1
20188,20,12,10,0,0
20004,20,8,1,0,1
20189,20,8,7,0,1
20309,20,82,11,0,0
20307,20,82,10,0,0
20633,20,8,13,0,1
20635,20,8,12,0,1
20636,20,12,7,0,0
21156,20,82,7,0,0
21155,20,12,17,0,1
21154,20,82,6,0,0
21153,20,12,18,0,1
21157,20,12,16,0,1
21163,20,12,6,0,0
20441,20,12,1,0,1
20239,20,12,3,0,0
20238,20,12,2,0,0
20642,20,82,9,0,0
20176,20,8,11,0,1
20643,20,12,15,0,1
20174,20,8,10,0,1
20641,20,82,8,0,0
20647,20,12,11,0,1
21190,20,12,22,0,1
21191,20,82,3,0,0
20020,20,8,3,0,1
20754,20,12,12,0,1
20422,20,82,14,0,0
20423,20,12,10,0,1
20421,20,82,13,0,0
21081,20,82,23,0,0
20426,20,82,16,0,0
20297,20,12,19,0,1
20427,20,12,8,0,1
20298,20,82,5,0,0
20424,20,82,15,0,0
20425,20,12,9,0,1
20296,20,12,20,0,1
20428,20,82,17,0,0
20429,20,12,7,0,1
20660,20,12,2,0,1
20310,20,12,13,0,1
20311,20,82,12,0,0
20010,20,82,1,0,0
20294,20,82,4,0,0
21189,20,12,23,0,1
20662,20,12,3,0,1
20292,20,12,21,0,1
20019,20,12,13,0,0
20669,20,8,4,0,1
20110,20,82,2,0,0
20100,63,70,11,0,1
20107,63,70,2,0,1
21101,63,17,18,0,0
20098,63,12,4,0,0
21102,63,12,1,0,1
20097,63,70,12,0,1
20099,63,12,5,0,0
20093,63,70,14,0,1
20306,63,12,9,0,1
20094,63,12,2,0,0
20095,63,70,13,0,1
20096,63,12,3,0,0
20004,63,70,1,0,1
20092,63,12,1,0,0
20307,63,65,10,0,0
21156,63,65,7,0,0
21155,63,12,12,0,1
21154,63,65,6,0,0
21153,63,12,13,0,1
21157,63,12,11,0,1
21219,63,17,19,0,0
20642,63,65,9,0,0
20643,63,12,10,0,1
20641,63,65,8,0,0
20647,63,12,6,0,1
20644,63,65,11,0,0
20645,63,12,7,0,1
21220,63,12,2,0,1
21190,63,12,17,0,1
21095,63,12,1,0,1
21191,63,65,3,0,0
20021,63,12,8,0,0
20021,63,70,8,0,1
20020,63,70,3,0,1
20023,63,12,10,0,0
20023,63,70,10,0,1
20022,63,12,9,0,0
20022,63,70,9,0,1
20754,63,65,12,0,0
20024,63,12,11,0,0
20165,63,70,4,0,1
20422,63,65,14,0,0
20423,63,12,5,0,1
20421,63,65,13,0,0
20297,63,12,14,0,1
20426,63,65,16,0,0
20298,63,65,5,0,0
20427,63,12,3,0,1
20424,63,65,15,0,0
20296,63,12,15,0,1
20425,63,12,4,0,1
20428,63,65,17,0,0
20429,63,12,2,0,1
20010,63,65,1,0,0
20294,63,65,4,0,0
21189,63,12,18,0,1
20292,63,12,16,0,1
20056,63,70,5,0,1
20667,63,12,8,0,1
20110,63,65,2,0,0
20057,63,12,6,0,0
20057,63,70,6,0,1
20058,63,12,7,0,0
20058,63,70,7,0,1
20063,83,12,3,0,0
20365,83,5,7,0,1
20362,83,12,14,0,0
20361,83,5,5,0,1
20109,83,12,19,0,0
20364,83,12,13,0,0
20363,83,5,6,0,1
20853,83,12,8,0,0
20854,83,12,2,0,0
20360,83,12,15,0,0
20070,83,12,6,0,0
20090,83,12,12,0,0
20858,83,5,18,0,1
20072,83,12,5,0,0
20073,83,5,15,0,1
20064,83,12,1,0,0
20064,83,5,17,0,1
21054,83,12,1,0,0
20065,83,12,4,0,0
20066,83,5,16,0,1
20069,83,5,14,0,1
20852,83,5,12,0,1
20008,83,5,1,0,1
20359,83,5,4,0,1
20358,83,12,16,0,0
20089,83,5,8,0,1
20088,83,12,11,0,0
20087,83,5,9,0,1
20086,83,12,10,0,0
20290,83,5,3,0,1
20081,83,5,13,0,1
20330,83,12,18,0,0
20331,83,5,2,0,1
20084,83,12,9,0,0
20085,83,5,10,0,1
20082,83,12,7,0,0
20291,83,12,17,0,0
20083,83,5,11,0,1
20740,60,19,7,0,1
21075,60,19,1,0,1
20741,60,19,8,0,1
20061,60,19,4,0,1
20737,60,19,5,0,1
20736,60,27,7,0,0
