id,direction_id,ligne_id,calendrier_id,macro_direction
2347951,3,77,9,0
2347952,3,77,9,0
2347953,3,77,9,0
2347954,3,77,9,0
2347955,3,77,9,0
2347956,3,77,9,0
2347957,3,77,9,0
2347960,3,77,9,0
2347969,3,77,9,0
2347963,3,77,9,0
2347964,3,77,9,0
2347961,3,77,9,0
2347962,3,77,9,0
2347967,3,77,9,0
2347968,3,77,9,0
2347965,3,77,9,0
2347966,3,77,9,0
2347999,3,77,14,0
2347998,3,77,14,0
2347997,3,77,14,0
2347996,3,77,14,0
2347995,3,77,14,0
2347994,3,77,14,0
2347992,3,77,9,0
2347993,3,77,14,0
2347990,3,77,9,0
2347991,3,77,9,0
2343611,14,95,17,1
2345195,14,95,14,1
2345194,14,95,14,1
2345187,67,95,14,0
2345186,67,95,14,0
2385222,14,95,4,1
2345210,67,95,9,0
2345219,14,95,9,1
2345218,14,95,9,1
2345215,67,95,9,0
2345214,67,95,9,0
2345258,14,95,9,1
2345257,14,95,9,1
2345209,67,95,9,0
2386745,14,95,1,1
2386744,14,95,1,1
2386705,14,95,1,1
2386706,14,95,1,1
2386701,67,95,1,0
2386702,67,95,1,0
2386696,67,95,1,0
2386697,67,95,1,0
2386681,14,95,7,1
2386682,14,95,7,1
2386673,67,95,7,0
2386674,67,95,7,0
2357858,4,36,14,1
2357851,5,36,14,0
2357850,4,36,14,1
2357853,5,36,14,0
2357852,4,36,14,1
2357855,5,36,14,0
2357854,4,36,14,1
2357857,5,36,14,0
2357856,4,36,14,1
2357849,5,36,14,0
2357848,4,36,14,1
2357847,5,36,14,0
2357846,4,36,14,1
2357845,5,36,14,0
2357844,4,36,14,1
2357843,5,36,14,0
2357842,4,36,14,1
2357841,5,36,14,0
2357840,4,36,14,1
2348039,5,36,9,0
2357837,5,36,14,0
2357836,4,36,14,1
2357839,5,36,14,0
2357838,4,36,14,1
2357833,5,36,14,0
2357832,4,36,14,1
2357835,5,36,14,0
2357834,4,36,14,1
2357831,5,36,14,0
2357830,4,36,14,1
2357820,4,36,14,1
2357821,5,36,14,0
2357822,4,36,14,1
2357823,5,36,14,0
2357824,4,36,14,1
2357825,5,36,14,0
2357826,4,36,14,1
2357827,5,36,14,0
2357828,4,36,14,1
2357829,5,36,14,0
2357812,4,36,14,1
2357813,5,36,14,0
2357810,4,36,14,1
2357811,5,36,14,0
2357816,4,36,14,1
2357817,5,36,14,0
2357814,4,36,14,1
2357815,5,36,14,0
2357818,4,36,14,1
2357819,5,36,14,0
2357800,4,36,14,1
2357801,5,36,14,0
2357802,4,36,14,1
2357807,5,36,14,0
2357808,4,36,14,1
2357809,5,36,14,0
2357803,5,36,14,0
2357804,4,36,14,1
2357805,5,36,14,0
2357806,4,36,14,1
2348119,5,36,9,0
2348116,4,36,9,1
2348115,5,36,9,0
2348118,4,36,9,1
2348117,5,36,9,0
2348111,5,36,9,0
2348112,4,36,9,1
2348113,5,36,9,0
2348114,4,36,9,1
2348110,4,36,9,1
2348109,5,36,9,0
2348108,4,36,9,1
2348107,5,36,9,0
2348106,4,36,9,1
2348105,5,36,9,0
2348104,4,36,9,1
2357769,5,36,14,0
2357768,4,36,14,1
2357767,5,36,14,0
2357766,4,36,14,1
2357765,5,36,14,0
2357764,4,36,14,1
2357763,5,36,14,0
2357762,4,36,14,1
2357761,5,36,14,0
2348102,4,36,9,1
2348103,5,36,9,0
2348100,4,36,9,1
2348101,5,36,9,0
2357774,4,36,14,1
2357773,5,36,14,0
2357776,4,36,14,1
2357775,5,36,14,0
2357778,4,36,14,1
2357777,5,36,14,0
2357779,5,36,14,0
2357770,4,36,14,1
2357771,5,36,14,0
2357772,4,36,14,1
2357787,5,36,14,0
2357786,4,36,14,1
2357785,5,36,14,0
2357784,4,36,14,1
2357789,5,36,14,0
2357788,4,36,14,1
2357782,4,36,14,1
2357783,5,36,14,0
2357780,4,36,14,1
2357781,5,36,14,0
2348130,4,36,9,1
2348132,4,36,9,1
